year,dep,prof_h,prof_m,conf_h,conf_m,espe_h,espe_m,admin_h,admin_m,auxadm_h,auxadm_m,obre_h,obre_m,obre_s,serv_h,serv_m,direct_h,direct_m
1960,ENA,,,3,4,2,4,,,,,,,1,40,,1,1
1960,ENAP,,,3,3,9,1,,,,,,,6,25,,1,
1960,FC,,,5,3,1,1,,,,,,,2,25,,1,
1960,FCPyS,,,3,4,1,2,,,,,,,,6,,1,
1960,ENCQ,,,9,11,31,10,,,,,,,9,38,4,2,
1960,ENCA,,,20,12,1,3,,,,,,,2,26,,1,
1960,FD,,,18,16,3,5,,,,,,,,28,,3,
1960,ENE,,,9,12,7,4,,,,,,,,12,,3,
1960,ENEO,,,2,4,,4,,,,,,,,5,2,1,
1960,FFyL,,,2,5,,4,,,,,,,,11,2,1,
1960,ENI,,,18,16,13,4,,,,,,,15,34,1,4,1
1960,ENMed,,,21,40,33,29,,,,,,,4,148,10,2,
1960,ENMúsica,,,4,6,3,1,,,,,,,,10,1,,1
1960,ENO,,,15,1,2,31,,,,,,,2,50,4,2,
1960,ENMVZ,,,10,4,17,6,,,,,,,1,40,,1,
1960,ENP,,,28,35,17,6,,,,,,,14,124,9,5,
1960,Centro de estudios filosóficos,,,,4,,1,,,,,,,,3,,1,
1960,IH,,,,3,,3,,,,,,,,1,,1,
1960,IM,,,,2,,1,,,,,,,,2,,1,
1960,IF,,,2,4,5,,,,,,,,2,6,,3,
1960,IDComparado,,,1,4,,,,,,,,,,2,,,
1960,IQ,,,2,1,2,1,,,,,,,1,2,4,1,
1960,Igeología,,,3,8,5,2,,,,,,,,13,1,2,
1960,Igeofísica,,,1,3,13,6,,,,,,,,7,,3,
1960,Igeografía,,,,1,1,1,,,,,,,,5,,1,
1960,IB,,,4,2,5,,,,,,,,4,15,,1,
1960,IMB,,,1,3,5,,,,,,,,,6,,1,
1960,IIS,,,2,6,2,1,,,,,,,,2,,1,
1960,IIE,,,,5,,,,,,,,,,2,,1,
1960,Observatorio Astronómico Nacional,,,,2,2,2,,,,,,,1,9,,2,
1960,BN,,,4,6,23,17,,,,,,,,14,,3,
1960,HN,,,5,4,15,7,,,,,,,,6,,1,
1960,Depto EF,,,1,3,,1,,,,,,,,2,,1,
1962,FC,,,2,,25,14,7,6,35,2,,,5,,,,
1962,FD,,,10,,2,4,16,28,36,1,,,,,,,
1962,FFyL,,,1,2,4,5,4,12,23,3,,,,,,,
1962,FI,,,3,,50,7,20,22,82,3,,,21,,,,
1962,FM,2,,3,1,52,35,33,48,152,13,,,5,,,,
1962,ENA,,,2,,7,5,6,22,61,2,,,,,,,
1962,ENAP,,,1,,17,1,10,4,31,,,,5,,,,
1962,FCPyS,,,1,,1,2,1,7,7,,,,,,,,
1962,ENCQ,2,1,3,,3,7,11,15,60,6,,,12,,,,
1962,ENCA,,,4,,,4,18,10,32,1,,,2,,,,
1962,ENE,,,4,,6,5,7,17,16,,,,,,,,
1962,ENEO,,,1,,3,1,,10,10,5,,,,,,,
1962,ENMVZ,,,2,,53,12,12,6,48,1,,,,,,,
1962,ENM,,,2,1,5,1,5,4,10,,,,,,,,
1962,ENO,7,,3,1,7,64,16,2,64,10,,,,,,,
1962,ENP,,,22,,155,84,46,93,254,37,,,43,,,,
1962,IB,,,1,,7,,3,2,13,1,,,,,,,
1962,ID Comparado,,,1,,,,1,7,2,,,,,,,,
1962,CEFilosoficos,,,1,,2,2,,5,3,,,,,,,,
1962,IEMB,,,1,,6,3,2,4,13,1,,,,,,,
1962,IF,,,1,,8,1,4,6,10,,,,4,,,,
1962,Igeología,,,1,,19,8,5,12,15,1,,,3,,,,
1962,igeografía,,,1,1,4,3,,1,6,,,,,,,,
1962,igeofísica,,,1,,26,10,,,9,1,,,1,,,,
1962,IH,,,1,,1,2,3,5,2,,,,,,,,
1962,IIE,,,1,,1,,2,8,3,,,,,,,,
1962,IIS,,,1,,1,2,2,8,3,,,,,,,,
1962,Imat,,,1,,,2,,3,3,,,,,,,,
1962,IQ,,,1,,3,1,2,1,1,3,,,1,,,,
1962,BN,,,1,,71,25,10,16,30,2,,,,,,,
1962,OAN,,,1,,3,2,1,3,8,,,,1,,,,
1963,FC,,,2,,24,18,6,7,31,3,6,,,,,,
1963,FD,,,13,,1,5,14,20,32,2,,,,,,,
1963,FFyL,,,1,1,2,6,4,12,22,3,,,,,,,
1963,FI,,,5,,71,6,37,26,82,2,26,,,,,,
1963,FM,,5,6,,50,32,36,59,153,13,5,,,,,,
1963,ENA,,,5,14,6,6,3,10,64,1,,,,,,,
1963,ENAP,,,2,,17,1,11,5,32,,5,,,,,,
1963,ENCPYS,,,6,,1,2,4,8,7,,,,,,,,
1963,ENCQ,,2,4,,36,7,13,15,54,6,11,,,,,,
1963,ENCA,,,4,,10,2,28,13,35,2,2,,,,,,
1963,ENE,,,4,,12,7,31,25,14,2,,,,,,,
1963,ENEO,,,1,,,3,1,23,8,7,,,,,,,
1963,ENMVZ,,,5,,50,17,9,7,47,,1,,,,,,
1963,ENM,,,3,,5,1,4,6,10,,,,,,,,
1963,ENO,,9,2,,12,73,22,6,70,8,2,,,,,,
1963,ENP,,,25,,161,105,251,162,282,33,,,,,,,
1963,CEFilosoficos,,,1,,1,2,1,5,3,,,,,,,,
1963,IB,,,1,,12,4,12,7,14,,,,,,,,
1963,IDComparado,,,1,,,1,1,8,2,,,,,,,,
1963,IEMB,,,1,,9,5,13,8,13,2,,,,,,,
1963,IF,,,1,,17,1,6,11,10,2,6,,,,,,
1963,Igeofísica,,,1,,11,16,1,1,10,,3,,,,,,
1963,Igeografía,,,,1,47,21,2,5,,1,,,,,,,
1963,Igeología,,,1,,23,14,5,12,15,,2,,,,,,
1963,IH,,,1,,7,11,2,6,2,,,,,,,,
1963,IIE,,,1,,2,,2,7,1,,,,,,,,
1963,IIS,,,1,,5,2,4,6,2,,,,,,,,
1963,IM,,,1,,,2,1,3,3,,,,,,,,
1963,IQ,,,1,,2,1,11,6,,3,1,,,,,,
1963,BN,,,1,,53,23,7,11,25,2,,,,,,,
1963,OAN,,,1,,6,3,7,4,8,,2,,,,,,
1963,HN,,,1,,26,12,7,6,10,,,,,,,,
1964,FC,,,2,,21,13,6,7,34,2,5,,,,,,
1964,FD,,,12,,3,5,16,20,30,1,,,,,,,
1964,FFyL,,,1,1,2,6,4,9,24,3,,,,,,,
1964,FI,,,5,,6,11,33,28,84,3,32,,,,,,
1964,FM,,4,8,1,44,32,42,62,159,19,5,,,,,,
1964,ENA,,,3,,6,5,12,19,56,2,2,,,,,,
1964,ENAP,,,2,,15,1,9,6,31,1,6,,,,,,
1964,ENCPYS,,,8,,1,2,6,9,8,,,,,,,,
1964,ENCQ,,2,4,,34,10,15,16,57,7,13,,,,,,
1964,ENCA,,,4,,6,4,26,15,41,2,2,,,,,,
1964,ENE,,,4,,9,7,30,28,16,,,,,,,,
1964,ENEO,,,1,3,3,2,,18,10,9,,,,,,,
1964,ENMVZ,,,3,,48,17,11,7,49,2,1,,,,,,
1964,ENM,,,3,,5,1,5,5,10,,1,,,,,,
1964,ENO,,9,3,,12,72,21,7,73,10,3,,,,,,
1964,ENP,,,36,2,153,120,272,202,407,47,,,,,,,
1964,CEFilosoficos,,,1,,1,2,,5,3,,,,,,,,
1964,IB,,,1,,8,2,6,,14,,1,,,,,,
1964,IDComparado,,,1,1,1,,1,8,2,,,,,,,,
